Row.names	logFC	logCPM	PValue	SGN_annotation	AGI	symbol	gene_name	X..identity	alignment.length	e.value	bit.score	percent.query.align
Solyc03g007870.2.1	-5.1849761	2.035047222	0.000111185	Heavy metal-associated domain containing protein expressed (AHRD V1 *-*- Q8S5W0_ORYSJ); contains Interpro domain(s)  IPR006121  Heavy metal transport/detoxification protein 	NA	NA	NA	NA	NA	NA	NA	NA
Solyc05g009310.2.1	-5.16022893	2.026590733	0.000217902	Zinc finger protein CONSTANS-LIKE 16 (AHRD V1 **-- B6TEI1_MAIZE); contains Interpro domain(s)  IPR010402  CCT domain 	NA	NA	NA	NA	NA	NA	NA	NA
Solyc07g054790.1.1	-5.159737929	2.026320776	0.000217902	Wound induced protein (AHRD V1 ***- B6U0P9_MAIZE)	NA	NA	NA	NA	NA	NA	NA	NA
Solyc02g089020.1.1	-5.140900537	4.76246174	2.40E-15	"Transcription factor (Fragment) (AHRD V1 *-*- D6MK40_9ASPA); contains Interpro domain(s)  IPR005333  Transcription factor, TCP "	NA	NA	NA	NA	NA	NA	NA	NA
Solyc10g082000.1.1	-5.126360204	1.997325572	0.000111185	"Heat shock-like protein (AHRD V1 **-- B5A254_ARATH); contains Interpro domain(s)  IPR004176  Clp, N-terminal "	NA	NA	NA	NA	NA	NA	NA	NA
Solyc01g091170.2.1	-5.114349132	4.922169354	2.03E-18	"Agmatinase (AHRD V1 ***- Q1IPT1_ACIBL); contains Interpro domain(s)  IPR016160  Aldehyde dehydrogenase, conserved site  IPR006035  Ureohydrolase "	AT4G08900	NA	"arginase; Identical to Arginase (EC 3.5.3.1) [Arabidopsis Thaliana] (GB:P46637); similar to arginase, putative [Arabidopsis thaliana] (TAIR:AT4G08870.1); similar to ar (GB:AAK15006.1); contains InterPro domain Arginase/agmatinase/formiminoglutamase; (InterPro:IPR006035)"	84.57	337	8.00E-168	586	98.2300885
Solyc09g091550.2.1	-4.994859011	1.935881331	0.000432045	Salicylic acid carboxyl methyltransferase (AHRD V1 **** C3VIX6_9ASTR); contains Interpro domain(s)  IPR005299  SAM dependent carboxyl methyltransferase 	NA	NA	NA	NA	NA	NA	NA	NA
Solyc07g049660.2.1	-4.890207459	1.883806286	0.000867035	Acetyl coenzyme A cis-3-hexen-1-ol acetyl transferase (AHRD V1 **-* Q9SRQ2_ARATH); contains Interpro domain(s)  IPR003480  Transferase 	AT5G17540	NA	"transferase family protein; similar to CHAT (ACETYL COA:(Z)-3-HEXEN-1-OL ACETYLTRANSFERASE), acetyl CoA:(Z)-3-hexen-1-ol acetyltransferase [Arabidopsis thaliana] (TAIR:AT3G03480.1); similar to benzoyl coenzyme A: benzyl alcohol benzoyl transferase [Petunia x hybrida] (GB:AAT68601.1); contains InterPro domain Transferase; (InterPro:IPR003480)"	58.57	449	5.00E-136	481	94.44444444
Solyc09g011390.2.1	-4.883434646	1.881564289	0.000867035	"Peptide transporter (AHRD V1 **-* A6YJX5_9MAGN); contains Interpro domain(s)  IPR000109  TGF-beta receptor, type I/II extracellular region "	AT3G53960	NA	"proton-dependent oligopeptide transport (POT) family protein; similar to proton-dependent oligopeptide transport (POT) family protein [Arabidopsis thaliana] (TAIR:AT2G37900.1); similar to TGF-beta receptor, type I/II extracellular re (GB:ABE84933.1); similar to Os03g0823500 [Oryza sativa (japonica cultivar-group)] (GB:NP_001051743.1); contains InterPro domain TGF-beta receptor, type I/II extracellular region; (InterPro:IPR000109)"	61.52	447	3.00E-165	578	92.96375267
Solyc04g071820.2.1	-4.873605273	1.878349198	0.000867035	Cytochrome P450	NA	NA	NA	NA	NA	NA	NA	NA
Solyc01g107990.2.1	-4.806098603	1.838681992	0.000867035	"MAPprotein kinase-like protein (AHRD V1 **-- Q9LT86_ARATH); contains Interpro domain(s)  IPR017946  PLC-like phosphodiesterase, TIM beta/alpha-barrel domain "	AT1G49740	NA	"phospholipase C; similar to phospholipase C [Arabidopsis thaliana] (TAIR:AT3G19310.1); similar to Os04g0430200 [Oryza sativa (japonica cultivar-group)] (GB:NP_001052817.1); similar to B0222C05.4 [Oryza sativa (indica cultivar-group)] (GB:CAH66396.1); contains InterPro domain Phosphatidylinositol-specific phospholipase C, X region; (InterPro:IPR000909)"	69.53	338	1.00E-149	526	82.19512195
Solyc05g040040.1.1	-4.805427254	1.838385309	0.000867035	F-box protein GID2 (AHRD V1 ***- B6SU06_MAIZE); contains Interpro domain(s)  IPR001810  Cyclin-like F-box 	AT5G48170	SLY2	"encodes an F-box protein whose protein sequence is similar to SLY1, which belongs to SCF-SLY1 E3 ligase complex. SCF-SLY1 E3 ligase degrades DELLA proteins that are involved in promoting growth. Overexpression of SLY2 can partially compensate sly1-10 mutant phenotype of dwarfism."	53.1	145	1.00E-31	131	92.81045752
Solyc04g014360.2.1	-4.75616215	4.070317676	1.26E-11	Transcription factor SPATULA (AHRD V1 *-** SPT_ARATH); contains Interpro domain(s)  IPR001092  Basic helix-loop-helix dimerisation region bHLH 	NA	NA	NA	NA	NA	NA	NA	NA
Solyc06g007160.2.1	-4.709136749	1.789766524	0.001761893	NADH dehydrogenase (AHRD V1 **** Q38A31_9TRYP); contains Interpro domain(s)  IPR013027  FAD-dependent pyridine nucleotide-disulphide oxidoreductase 	AT2G29990	NDA2	"NDA2 (ALTERNATIVE NAD(P)H DEHYDROGENASE 2); NADH dehydrogenase; similar to NDA1 (ALTERNATIVE NAD(P)H DEHYDROGENASE 1), NADH dehydrogenase [Arabidopsis thaliana] (TAIR:AT1G07180.1); similar to putative internal rotenone-insensitive NADH dehydrogenase [Solanum tuberosum] (GB:CAB52796.1); similar to Os07g0564500 [Oryza sativa (japonica cultivar-group)] (GB:NP_001060003.1); contains InterPro domain Pyridine nucleotide-disulphide oxidoreductase, NAD-binding region; (InterPro:IPR001327); contains InterPro domain FAD-dependent pyridine nucleotide-disulphide oxidoreductase; (InterPro:IPR013027)"	78.3	447	0	718	89.71774194
Solyc03g122350.2.1	-4.692270699	1.784487003	0.001761893	Cytochrome P450	NA	NA	NA	NA	NA	NA	NA	NA
Solyc08g007570.2.1	-4.68708098	1.782844547	0.001761893	Unknown Protein (AHRD V1)	NA	NA	NA	NA	NA	NA	NA	NA
Solyc10g005340.2.1	-4.596967219	1.736795976	0.001761893	Rop-interactive crib motif-containing protein 1 (AHRD V1 *--- D7LGA6_ARALY); contains Interpro domain(s)  IPR000095  PAK-box/P21-Rho-binding 	NA	NA	NA	NA	NA	NA	NA	NA
Solyc04g063390.2.1	-4.585310342	3.906918322	2.18E-11	Chaperone protein dnaJ 10 (AHRD V1 **** B4G111_MAIZE); contains Interpro domain(s)  IPR003095  Heat shock protein DnaJ 	AT1G77020	NA	"DNAJ heat shock N-terminal domain-containing protein; similar to DNAJ heat shock N-terminal domain-containing protein [Arabidopsis thaliana] (TAIR:AT1G76700.1); similar to Os09g0493800 [Oryza sativa (japonica cultivar-group)] (GB:NP_001063548.1); similar to DnaJ-like protein [Brassica juncea] (GB:AAW50121.1); similar to Os02g0555700 [Oryza sativa (japonica cultivar-group)] (GB:NP_001047124.1); contains InterPro domain Heat shock protein DnaJ; (InterPro:IPR003095); contains InterPro domain Heat shock protein DnaJ, N-terminal; (InterPro:IPR001623)"	71.47	382	6.00E-160	560	99.47780679
Solyc01g009900.2.1	-4.578970231	3.511367708	1.31E-08	"Glutaredoxin (AHRD V1 ***- B9GF65_POPTR); contains Interpro domain(s)  IPR011905  Glutaredoxin-like, plant II "	NA	NA	NA	NA	NA	NA	NA	NA
Solyc05g051270.2.1	-4.568527836	1.728112191	0.003627152	Cysteine-rich repeat secretory protein 60 (AHRD V1 ***- CRR60_ARATH); contains Interpro domain(s)  IPR002902  Protein of unknown function DUF26 	AT5G37660	PDLP7	receptor-like protein kinase-related; similar to 33 kDa secretory protein-related [Arabidopsis thaliana] (TAIR:AT2G01660.1); similar to Os04g0537800 [Oryza sativa (japonica cultivar-group)] (GB:NP_001053427.1); similar to receptor-like protein kinase-like [Oryza sativa (japonica cultivar-group)] (GB:BAD25786.1); contains InterPro domain Protein of unknown function DUF26; (InterPro:IPR002902)	59.06	254	2.00E-69	259	88.61209964
Solyc05g054010.2.1	-4.561179503	1.725799236	0.003627152	"Cc-nbs-lrr, resistance protein"	NA	NA	NA	NA	NA	NA	NA	NA
Solyc10g078260.1.1	-4.558357334	1.724832594	0.003627152	"Peptidyl-prolyl cis-trans isomerase (AHRD V1 *--- Q86M29_BRUMA); contains Interpro domain(s)  IPR001179  Peptidyl-prolyl cis-trans isomerase, FKBP-type "	AT5G48570	ATFKBP65	"peptidyl-prolyl cis-trans isomerase, putative / FK506-binding protein, putative; similar to ROF1 (ROTAMASE FKBP 1), FK506 binding / calmodulin binding / peptidyl-prolyl cis-trans isomerase [Arabidopsis thaliana] (TAIR:AT3G25230.1); similar to peptidylprolyl isomerase [Triticum aestivum] (GB:CAA68913.1); similar to 70 kDa peptidyl-prolyl isomerase (Peptidyl-prolyl cis-trans isomerase) (PPIase) (Rotamase) (GB:Q43207); similar to Os08g0525600 [Oryza sativa (japonica cultivar-group)] (GB:NP_001062292.1); contains InterPro domain Tetratricopeptide region; (InterPro:IPR013026); contains InterPro domain Tetratricopeptide TPR_1; (InterPro:IPR001440); contains InterPro domain Peptidylprolyl isomerase, FKBP-type; (InterPro:IPR001179); contains InterPro domain Tetratricopeptide-like helical; (InterPro:IPR011990)"	52.26	398	5.00E-103	371	86.37413395
Solyc05g006000.2.1	-4.556810918	2.831563358	1.11E-07	"Solute carrier family 15 member 4 (AHRD V1 **-- S15A4_BOVIN); contains Interpro domain(s)  IPR000109  TGF-beta receptor, type I/II extracellular region "	NA	NA	NA	NA	NA	NA	NA	NA
Solyc10g054110.1.1	-4.547315534	1.721489954	0.003627152	MATE efflux family protein (AHRD V1 **-- D7CWB4_TRURR); contains Interpro domain(s)  IPR002528  Multi antimicrobial extrusion protein MatE 	AT2G21340	NA	"enhanced disease susceptibility protein, putative / salicylic acid induction deficient protein, putative; similar to EDS5 (ENHANCED DISEASE SUSCEPTIBILITY 5), antiporter/ transporter [Arabidopsis thaliana] (TAIR:AT4G39030.1); similar to Multi antimicrobial extrusion protein MatE [Medicago truncatula] (GB:ABE88792.1); similar to Multi antimicrobial extrusion protein MatE [Medicago truncatula] (GB:ABE88798.1); similar to expressed protein [Medicago truncatula] (GB:ABE88794.1); contains domain DNA-DAMAGE-INDUCIBLE PROTEIN F (PTHR11206:SF3); contains domain MULTIDRUG RESISTANCE PUMP (PTHR11206)"	73.94	284	8.00E-117	417	75.26595745
Solyc01g091920.2.1	-4.459829204	1.67719869	0.003627152	"Subtilisin-like protease (AHRD V1 **-- A9XG40_TOBAC); contains Interpro domain(s)  IPR015500  Peptidase S8, subtilisin-related "	AT1G01900	ATSBT1.1	"subtilase family protein; similar to subtilase family protein [Arabidopsis thaliana] (TAIR:AT5G51750.1); similar to ARA12, subtilase [Arabidopsis thaliana] (TAIR:AT5G67360.1); similar to Orn/DAP/Arg decarboxylase 2; Protease-associated PA; Proteinase inhibitor I9, subtilisin propeptide [Medicago truncatula] (GB:ABE87035.1); similar to OSIGBa0147H17.8 [Oryza sativa (indica cultivar-group)] (GB:CAH66960.1); contains InterPro domain Protease-associated PA; (InterPro:IPR003137); contains InterPro domain Peptidase S8 and S53, subtilisin, kexin, sedolisin; (InterPro:IPR000209); contains InterPro domain Proteinase inhibitor I9, subtilisin propeptide; (InterPro:IPR010259); contains InterPro domain Proteinase inhibitor, propeptide; (InterPro:IPR009020)"	59.08	699	0	789	91.43610013
Solyc01g079830.2.1	-4.456447815	1.676186404	0.003627152	Unknown Protein (AHRD V1)	NA	NA	NA	NA	NA	NA	NA	NA
Solyc11g011560.1.1	-4.456447815	1.676186404	0.003627152	"PHD finger family protein (AHRD V1 **-- D7LPW0_ARALY); contains Interpro domain(s)  IPR011011  Zinc finger, FYVE/PHD-type "	NA	NA	NA	NA	NA	NA	NA	NA
Solyc06g006020.1.1	-4.449697741	1.6741632	0.003627152	"Receptor like kinase, RLK"	NA	NA	NA	NA	NA	NA	NA	NA
Solyc01g080790.2.1	-4.448844084	1.673844379	0.003627152	PBSP domain-containing protein (AHRD V1 **-- C9S7G7_VERA1); contains Interpro domain(s)  IPR007541  Plant Basic Secretory Protein 	AT2G15220	NA	"secretory protein, putative; similar to plant basic secretory protein (BSP) family protein [Arabidopsis thaliana] (TAIR:AT2G15130.1); similar to NtPRp27 [Nicotiana tabacum] (GB:BAA81904.1); contains InterPro domain Plant Basic Secretory Protein; (InterPro:IPR007541)"	62.95	224	9.00E-80	293	97.35682819
Solyc03g120170.1.1	-4.444219416	1.672487625	0.003627152	Unknown Protein (AHRD V1)	NA	NA	NA	NA	NA	NA	NA	NA
Solyc06g075500.2.1	-4.444219416	1.672487625	0.003627152	"Nitrate transporter (AHRD V1 **-* Q9SZY4_ARATH); contains Interpro domain(s)  IPR000109  TGF-beta receptor, type I/II extracellular region "	AT3G45650	NAXT1	"proton-dependent oligopeptide transport (POT) family protein; similar to proton-dependent oligopeptide transport (POT) family protein [Arabidopsis thaliana] (TAIR:AT3G45680.1); similar to proton-dependent oligopeptide transport (POT) family protein [Arabidopsis thaliana] (TAIR:AT3G45660.1); similar to proton-dependent oligopeptide transport (POT) family protein [Arabidopsis thaliana] (TAIR:AT3G45710.1); similar to Major Facilitator Superfamily protein [Solanum demissum] (GB:AAT39312.2); contains InterPro domain TGF-beta receptor, type I/II extracellular region; (InterPro:IPR000109)"	53.22	543	2.00E-154	542	98.52941176
Solyc04g049080.2.1	-4.442964624	1.672141818	0.003627152	Senescence-associated protein-like (AHRD V1 ***- Q9LH57_ARATH); contains Interpro domain(s)  IPR018499  Tetraspanin 	NA	NA	NA	NA	NA	NA	NA	NA
Solyc01g093960.2.1	-4.440857028	1.671477418	0.007568591	"MADS box transcription factor (AHRD V1 ***- Q2NNC0_ELAGV); contains Interpro domain(s)  IPR002487  Transcription factor, K-box "	AT2G45650	AGL6	sequence suggests this encodes a MADS-box transcription factor	61.54	260	3.00E-80	295	99.20948617
Solyc03g071690.2.1	-4.435394261	1.669803662	0.007568591	Non-symbiotic hemoglobin 2 (AHRD V1 **-- D7L8Z8_ARALY); contains Interpro domain(s)  IPR001032  Leghaemoglobin 	AT3G10520	AHB2	class 2 non-symbiotic hemoglobin	72.54	142	1.00E-59	224	89.8089172
Solyc04g005830.2.1	-4.424496647	1.66645947	0.007568591	"Single-stranded nucleic acid binding R3H domain protein (AHRD V1 **-- B5W372_SPIMA); contains Interpro domain(s)  IPR003593  ATPase, AAA+ type, core "	AT1G33290	NA	sporulation protein-related; similar to sporulation protein-related [Arabidopsis thaliana] (TAIR:AT3G10420.1); similar to expressed protein [Oryza sativa (japonica cultivar-group)] (GB:ABA96147.1); contains InterPro domain AAA ATPase; (InterPro:IPR003593)	71	331	2.00E-136	482	84.79381443
Solyc06g075310.2.1	-4.421157492	1.665451851	0.007568591	Adenylate kinase isoenzyme 6 (AHRD V1 **-- B5X3S3_SALSA)	AT5G60340	NA	"maoC-like dehydratase domain-containing protein; similar to MaoC-like dehydratase [Medicago truncatula] (GB:ABE93831.1); contains InterPro domain MaoC-like dehydratase; (InterPro:IPR002539); contains InterPro domain Adenylate/cytidine kinase, N-terminal; (InterPro:IPR011769); contains InterPro domain Fatty acid synthase; (InterPro:IPR003965); contains InterPro domain AAA ATPase, central region; (InterPro:IPR003959)"	60.75	107	1.00E-22	101	79.10447761
Solyc06g009770.1.1	-4.415729061	1.663782126	0.007568591	Binding protein (AHRD V1 ***- D7LT81_ARALY)	NA	NA	NA	NA	NA	NA	NA	NA
Solyc11g069730.1.1	-4.313573703	1.616416517	0.007568591	Unknown Protein (AHRD V1)	NA	NA	NA	NA	NA	NA	NA	NA
Solyc03g097960.1.1	-4.300112081	1.612358069	0.007568591	CHP-rich zinc finger protein-like (AHRD V1 *--- Q8H5Y9_ORYSJ); contains Interpro domain(s)  IPR011424  C1-like 	NA	NA	NA	NA	NA	NA	NA	NA
Solyc02g078110.1.1	-4.296673209	1.61133961	0.007568591	Unknown Protein (AHRD V1)	NA	NA	NA	NA	NA	NA	NA	NA
Solyc05g006610.2.1	-4.294562275	2.682588536	2.29E-05	Unknown Protein (AHRD V1)	NA	NA	NA	NA	NA	NA	NA	NA
Solyc04g074900.2.1	-4.293239064	1.610321622	0.007568591	40S ribosomal protein S21 (AHRD V1 ***- D7M5J1_ARALY); contains Interpro domain(s)  IPR001931  Ribosomal protein S21e 	AT5G27700	NA	40S ribosomal protein S21 (RPS21C); Identical to 40S ribosomal protein S21-2 (RPS21C) [Arabidopsis Thaliana] (GB:Q3E902); similar to 40S ribosomal protein S21 (RPS21B) [Arabidopsis thaliana] (TAIR:AT3G53890.2); similar to Ribosomal protein S21e [Medicago truncatula] (GB:ABD28456.1); contains InterPro domain Ribosomal protein S21e; (InterPro:IPR001931)	81.48	81	1.00E-35	144	96.38554217
Solyc03g111800.2.1	-4.293239064	1.610321622	0.007568591	"Receptor like kinase, RLK"	AT2G31880	EVR	"leucine-rich repeat transmembrane protein kinase, putative; similar to leucine-rich repeat transmembrane protein kinase, putative [Arabidopsis thaliana] (TAIR:AT2G33170.1); similar to receptor-like protein kinase [Nicotiana tabacum] (GB:BAC07504.2); contains InterPro domain Protein kinase-like; (InterPro:IPR011009); contains InterPro domain Leucine-rich repeat; (InterPro:IPR001611); contains InterPro domain Protein kinase; (InterPro:IPR000719); contains InterPro domain Leucine-rich repeat, plant specific; (InterPro:IPR007090); contains InterPro domain Serine/threonine protein kinase, active site; (InterPro:IPR008271)"	54.49	635	3.00E-175	611	98.13242784
Solyc01g058100.2.1	-4.289809644	1.609304106	0.007568591	Unknown Protein (AHRD V1)	NA	NA	NA	NA	NA	NA	NA	NA
Solyc07g007980.2.1	-4.289809644	1.609304106	0.007568591	ATP binding / serine-threonine kinase (AHRD V1 **** C5DB71_VITVI); contains Interpro domain(s)  IPR002290  Serine/threonine protein kinase 	AT5G15080	NA	"protein kinase, putative; similar to kinase [Arabidopsis thaliana] (TAIR:AT3G28690.2); similar to protein kinase, putative [Arabidopsis thaliana] (TAIR:AT3G01300.1); similar to Os01g0588500 [Oryza sativa (japonica cultivar-group)] (GB:NP_001043435.1); similar to serine/threonine protein kinase-like [Solanum tuberosum] (GB:AAU89742.1); contains InterPro domain Protein kinase-like; (InterPro:IPR011009); contains InterPro domain Protein kinase; (InterPro:IPR000719); contains InterPro domain Serine/threonine protein kinase, active site; (InterPro:IPR008271)"	62.19	402	1.00E-133	473	90.24943311
