"Dataset S7 Hub (> 1,000 edges) genes of network of LC+ genes",,,,
Gene ID,Number of edges,Arabidopsis orthologue,Symbol,Human readable description
Solyc02g080540,1113,AT4G04640,ATPC1,ATPC1 | ATPC1; enzyme regulator | chr4:2350761-2351882 REVERSE
Solyc03g053110,1113,AT2G42220,NA,rhodanese-like domain-containing protein | chr2:17592105-17593305 FORWARD
Solyc10g006530,1113,AT3G01440,NA,oxygen evolving enhancer 3 (PsbQ) family protein | chr3:168478-169407 FORWARD
Solyc02g020940,1113,AT1G12900,GAPA-2,GAPA-2 | GAPA-2 (GLYCERALDEHYDE 3-PHOSPHATE DEHYDROGENASE A SUBUNIT 2); NAD or NADH binding / binding / catalytic/ glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)/ glyceraldehyde-3-phosphate dehydrogenase | chr1:4392634-4394283 REVERSE
Solyc12g056830,1113,AT4G09650,ATPD,"ATPD | ATPD (ATP SYNTHASE DELTA-SUBUNIT GENE); hydrogen ion transporting ATP synthase, rotational mechanism / proton-transporting ATPase, rotational mechanism | chr4:6100799-6101503 FORWARD"
Solyc01g080280,1112,AT5G35630,ATGSL1,"GS2, GLN2, ATGSL1 | GS2 (GLUTAMINE SYNTHETASE 2); glutamate-ammonia ligase | chr5:13831220-13833239 FORWARD"
Solyc03g114450,1111,AT5G23060,CaS,CaS | CaS (Calcium sensing receptor) | chr5:7736760-7738412 REVERSE
Solyc01g079790,1111,AT5G19220,ADG2,"ADG2, APL1 | APL1 (ADP GLUCOSE PYROPHOSPHORYLASE LARGE SUBUNIT 1); glucose-1-phosphate adenylyltransferase | chr5:6463931-6466775 REVERSE"
Solyc03g062720,1111,AT1G64770,NDF2,NDF2 | NDF2 (NDH-DEPENDENT CYCLIC ELECTRON FLOW 1); carbohydrate binding / catalytic | chr1:24057549-24059415 FORWARD
Solyc06g066640,1111,AT3G16140,PSAH-1,"PSAH2, PSAH-2, PSI-H | PSAH2 (PHOTOSYSTEM I SUBUNIT H2) | chr1:19454902-19455508 FORWARD"
Solyc06g053140,1111,AT4G27700,NA,rhodanese-like domain-containing protein | chr4:13826541-13827673 REVERSE
Solyc06g068670,1111,AT1G16880,NA,uridylyltransferase-related | chr1:5773796-5776125 FORWARD
Solyc06g071860,1110,AT3G48440,NA,zinc finger (CCCH-type) family protein | chr3:17941402-17943576 FORWARD
Solyc01g111120,1110,AT2G21170,PDTPI,TIM | TIM (TRIOSEPHOSPHATE ISOMERASE); catalytic/ triose-phosphate isomerase | chr2:9071047-9073106 REVERSE
Solyc08g014340,1110,AT3G59760,ATCS-C,"OASC, ATCS-C | OASC (O-ACETYLSERINE (THIOL) LYASE ISOFORM C); ATP binding / cysteine synthase | chr3:22072668-22075345 REVERSE"
Solyc06g082970,1110,AT5G21430,NA,DNAJ heat shock N-terminal domain-containing protein | chr5:7222294-7223400 FORWARD
Solyc07g044860,1110,AT1G06680,OE23,"PSBP-1, OEE2, PSII-P, OE23 | PSBP-1 (PHOTOSYSTEM II SUBUNIT P-1); poly(U) binding | chr1:2047940-2049186 FORWARD"
Solyc11g008620,1110,AT5G36700,ATPGLP1,"phosphoglycolate phosphatase, putative | chr5:14481229-14483730 REVERSE"
Solyc01g006330,1110,AT1G51110,NA,plastid-lipid associated protein PAP / fibrillin family protein | chr1:18935380-18937484 FORWARD
Solyc10g078860,1109,AT5G45140,NRPC2,NRPC2 | NRPC2; DNA binding / DNA-directed RNA polymerase/ ribonucleoside binding | chr5:18247416-18257713 REVERSE
Solyc01g098640,1109,AT1G54780,TLP18.3,thylakoid lumen 18.3 kDa protein | chr1:20439533-20440953 FORWARD
Solyc03g120640,1109,AT3G16140,PSAH-1,PSAH-1 | PSAH-1 (photosystem I subunit H-1) | chr3:5468670-5469415 REVERSE
Solyc01g109040,1109,AT2G26500,NA,"cytochrome b6f complex subunit (petM), putative | chr2:11270370-11270747 FORWARD"
Solyc11g011250,1109,AT5G16710,DHAR3,DHAR3 | DHAR3 (dehydroascorbate reductase 1); glutathione dehydrogenase (ascorbate) | chr5:5483312-5484926 FORWARD
Solyc04g078910,1109,AT1G07700,NA,thioredoxin family protein | chr1:2380214-2381127 FORWARD
Solyc10g051110,1109,AT3G18890,NA,binding / catalytic/ coenzyme binding | chr3:6511169-6514729 FORWARD
Solyc10g011940,1109,AT5G44800,NA,CHR4 | CHR4 (CHROMATIN REMODELING 4); ATP binding / DNA binding / chromatin binding / helicase/ nucleic acid binding / protein binding / zinc ion binding | chr5:18083659-18092162 REVERSE
Solyc06g053480,1108,AT2G43710,FAB2,"SSI2, FAB2 | SSI2; acyl-[acyl-carrier-protein] desaturase/ stearoyl-CoA 9-desaturase | chr2:18120107-18122495 FORWARD"
Solyc12g042770,1108,AT3G15840,PIFI,PIFI | PIFI (post-illumination chlorophyll fluorescence increase) | chr3:5356782-5358418 REVERSE
Solyc05g009930,1108,AT3G25690,NA,CHUP1 | CHUP1 (CHLOROPLAST UNUSUAL POSITIONING 1) | chr3:9354061-9357757 FORWARD
Solyc03g120430,1108,AT1G80380,NA,phosphoribulokinase/uridine kinase-related | chr1:30217332-30219784 FORWARD
Solyc09g065180,1108,AT3G63140,CSP41A,CSP41A | CSP41A (CHLOROPLAST STEM-LOOP BINDING PROTEIN OF 41 KDA); mRNA binding / poly(U) binding | chr3:23327006-23328620 REVERSE
Solyc02g086910,1108,AT3G01480,ATCYP38,CYP38 | CYP38 (cyclophilin 38); peptidyl-prolyl cis-trans isomerase | chr3:188569-190674 FORWARD
Solyc06g082940,1108,AT4G12800,PSAL,PSAL | PSAL (photosystem I subunit L) | chr4:7521469-7522493 FORWARD
Solyc02g068700,1107,AT1G31160,NA,"zinc-binding protein, putative / protein kinase C inhibitor, putative | chr1:11122880-11124106 REVERSE"
Solyc02g070000,1107,AT4G20940,NA,leucine-rich repeat family protein | chr4:11202728-11206038 FORWARD
Solyc03g117890,1107,AT1G16880,NA,uridylyltransferase-related | chr1:5773796-5776125 FORWARD
Solyc02g069460,1107,AT1G31330,PSAF,PSAF | PSAF (photosystem I subunit F) | chr1:11215011-11215939 REVERSE
Solyc02g080810,1107,AT1G11860,NA,"aminomethyltransferase, putative | chr1:4001801-4003245 FORWARD"
Solyc12g008980,1106,AT5G57030,LUT2,LUT2 | LUT2 (LUTEIN DEFICIENT 2); lycopene epsilon cyclase | chr5:23077398-23079818 FORWARD
Solyc10g008020,1106,NA,NA,No significant hit found
Solyc02g081330,1106,AT5G17230,PSY,PSY | phytoene synthase (PSY) / geranylgeranyl-diphosphate geranylgeranyl transferase | chr5:5659839-5662087 REVERSE
Solyc09g014520,1106,AT5G01530,LHCB4.1,LHCB4.2 | LHCB4.2 (light harvesting complex PSII); chlorophyll binding | chr3:2717717-2718665 FORWARD
Solyc10g017940,1106,ATCG00280,PSBC,PSBC | chloroplast gene encoding a CP43 subunit of  the photosystem II reaction center. promoter contains a blue-light responsive element. | chrC:33720-35141 FORWARD
Solyc01g008960,1105,AT2G27040,AGO4,"AGO4, OCP11 | AGO4 (ARGONAUTE 4); nucleic acid binding | chr2:11536795-11541503 REVERSE"
Solyc09g064230,1105,AT1G04150,NA,C2 domain-containing protein | chr1:1081208-1084246 REVERSE
Solyc04g009030,1105,AT3G26650,GAPA,GAPA-2 | GAPA-2 (GLYCERALDEHYDE 3-PHOSPHATE DEHYDROGENASE A SUBUNIT 2); NAD or NADH binding / binding / catalytic/ glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)/ glyceraldehyde-3-phosphate dehydrogenase | chr1:4392634-4394283 REVERSE
Solyc07g022900,1105,AT1G45474,LHCA5,LHCA5 | LHCA5; pigment binding | chr1:17179353-17180439 FORWARD
Solyc03g034220,1104,AT5G38410,NA,ribulose bisphosphate carboxylase small chain 3B / RuBisCO small subunit 3B (RBCS-3B) (ATS3B) | chr5:15377501-15378306 REVERSE
Solyc12g009070,1104,NA,NA,No significant hit found
Solyc08g077940,1104,AT2G35160,NA,"SUVH5, SGD9 | SUVH5 (SU(VAR)3-9 HOMOLOG 5); histone methyltransferase | chr2:14823562-14825946 FORWARD"
Solyc03g098280,1103,AT1G48410,AGO1,AGO1 | AGO1 (ARGONAUTE 1); endoribonuclease/ miRNA binding / protein binding / siRNA binding | chr1:17886285-17891892 REVERSE
Solyc08g079110,1103,AT1G12250,NA,thylakoid lumenal protein-related | chr1:4159287-4161269 FORWARD
Solyc03g124030,1103,AT1G78915,NA,binding | chr1:29667729-29671081 REVERSE
Solyc01g106430,1103,AT5G09650,AtPPa6,AtPPa6 | AtPPa6 (Arabidopsis thaliana pyrophosphorylase 6); inorganic diphosphatase/ pyrophosphatase | chr5:2991331-2993117 REVERSE
Solyc03g059180,1103,AT3G59780,NA,"FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: nucleus, chloroplast; EXPRESSED IN: guard cell; BEST Arabidopsis thaliana protein match is: CaS (Calcium sensing receptor) (TAIR:AT5G23060.1); Has 1338 Blast hits to 316 proteins in 95 species: Archae - 0; Bacteria - 274; Metazoa - 264; Fungi - 88; Plants - 42; Viruses - 4; Other Eukaryotes - 666 (source: NCBI BLink). | chr3:22087345-22090324 FORWARD"
Solyc06g066000,1103,AT4G32260,NA,ATP synthase family | chr4:15573859-15574586 REVERSE
Solyc05g007780,1103,AT1G14150,PQL1,oxygen evolving enhancer 3 (PsbQ) family protein | chr1:4839885-4840632 FORWARD
Solyc02g079950,1103,AT4G05180,PSBQ,"PSBQ, PSBQ-2, PSII-Q | PSBQ-2; calcium ion binding | chr4:2672093-2673170 REVERSE"
Solyc01g111630,1103,AT1G68010,ATHPR1,HPR | HPR; glycerate dehydrogenase/ poly(U) binding | chr1:25493418-25495720 FORWARD
Solyc11g018550,1103,AT1G77490,TAPX,TAPX | TAPX (THYLAKOIDAL ASCORBATE PEROXIDASE); L-ascorbate peroxidase | chr1:29117688-29120046 FORWARD
Solyc06g065490,1103,AT3G56650,NA,thylakoid lumenal 20 kDa protein | chr3:20984807-20985913 FORWARD
Solyc01g006890,1102,AT3G11760,NA,unknown protein | chr3:3718529-3721123 FORWARD
Solyc05g013740,1102,AT1G13030,NA,sphere organelles protein-related | chr1:4444284-4447278 REVERSE
Solyc01g057830,1102,AT5G30510,ARRPS1,"RPS1, ARRPS1 | RPS1 (RIBOSOMAL PROTEIN S1); RNA binding / structural constituent of ribosome | chr5:11619262-11621223 REVERSE"
Solyc01g080810,1102,AT5G49030,OVA2,OVA2 | OVA2 (ovule abortion 2); ATP binding / aminoacyl-tRNA ligase/ catalytic/ isoleucine-tRNA ligase/ nucleotide binding | chr5:19875091-19882291 REVERSE
Solyc09g009380,1102,AT3G52890,NA,KIPK | KIPK (KCBP-interacting protein kinase); kinase/ protein binding / protein kinase | chr3:19609150-19612032 FORWARD
Solyc02g091280,1102,AT1G66670,CLPP3,"CLPP3, NCLPP3 | CLPP3; serine-type endopeptidase | chr1:24863995-24865646 REVERSE"
Solyc06g051080,1102,AT3G56040,UGP3,UGP3 | UGP3 (UDP-GLUCOSE PYROPHOSPHORYLASE 3) | chr3:20792689-20797482 REVERSE
Solyc05g032660,1102,AT5G04900,NOL,short-chain dehydrogenase/reductase (SDR) family protein | chr5:1434826-1437194 FORWARD
Solyc10g082030,1102,AT5G06290,2-Cys,2-Cys Prx B | 2-Cys Prx B (2-Cysteine peroxiredoxin B); antioxidant/ peroxiredoxin | chr5:1919380-1921211 FORWARD
Solyc05g012600,1102,AT2G03420,NA,unknown protein | chr2:1035100-1035937 REVERSE
Solyc10g018520,1101,AT5G35910,NA,3'-5' exonuclease domain-containing protein / helicase and RNase D C-terminal domain-containing protein / HRDC domain-containing protein | chr5:14029871-14035405 REVERSE
Solyc11g006170,1101,AT5G64360,NA,DNAJ heat shock N-terminal domain-containing protein | chr5:25737208-25738602 REVERSE
Solyc09g061420,1101,AT5G48830,NA,unknown protein | chr5:19800269-19802625 REVERSE
Solyc04g081330,1101,NA,NA,No significant hit found
Solyc02g090030,1101,AT3G50820,OEC33,"PSBO2, PSBO-2, OEC33 | PSBO2 (PHOTOSYSTEM II SUBUNIT O-2); oxygen evolving/ poly(U) binding | chr3:18891008-18892311 REVERSE"
Solyc10g044520,1101,AT1G60950,ATFD2,"FED A, ATFD2 | FED A; 2 iron, 2 sulfur cluster binding / electron carrier/ iron-sulfur cluster binding | chr1:22444565-22445011 FORWARD"
Solyc10g081530,1100,AT3G28715,NA,"H+-transporting two-sector ATPase, putative | chr3:10778025-10780350 FORWARD"
Solyc10g009570,1100,AT4G01050,TROL,hydroxyproline-rich glycoprotein family protein | chr4:455874-458175 FORWARD
Solyc10g049710,1100,AT1G49970,CLPR1,"CLPR1, NCLPP5, SVR2 | CLPR1; serine-type endopeptidase | chr1:18501936-18504462 REVERSE"
Solyc02g093950,1100,AT5G14230,NA,protein binding | chr5:4591883-4595775 FORWARD
Solyc03g005230,1100,AT3G63410,APG1,"APG1, VTE3, IEP37, E37 | APG1 (ALBINO OR PALE GREEN MUTANT 1); 2-methyl-6-phytyl-1,4-benzoquinone methyltransferase/ S-adenosylmethionine-dependent methyltransferase/ methyltransferase | chr3:23415816-23417002 REVERSE"
Solyc01g100650,1100,AT1G56500,NA,haloacid dehalogenase-like hydrolase family protein | chr1:21159775-21167092 FORWARD
Solyc02g092070,1099,AT4G37740,NA,AtGRF2 | AtGRF2 (GROWTHREGULATING FACTOR 2); transcription activator | chr4:17725533-17727609 REVERSE
Solyc03g117970,1099,AT2G31320,ATPARP2,"PARP2, ATPARP2 | PARP2 (POLY(ADP-RIBOSE) POLYMERASE 2); DNA binding / NAD or NADH binding / NAD+ ADP-ribosyltransferase/ zinc ion binding | chr2:13354046-13359578 REVERSE"
Solyc07g064940,1099,AT4G37200,NA,"HCF164 | HCF164; oxidoreductase, acting on sulfur group of donors, disulfide as acceptor | chr4:17509836-17511230 REVERSE"
Solyc06g082910,1099,AT3G25500,NA,"AFH1, FH1, AHF1, ATFH1 | AFH1 (FORMIN HOMOLOGY 1); actin binding / actin filament binding / protein binding | chr3:9251320-9254826 REVERSE"
Solyc07g041970,1099,AT2G05920,NA,subtilase family protein | chr2:2269831-2272207 REVERSE
Solyc04g054880,1099,AT4G39790,NA,unknown protein | chr4:18462316-18464584 REVERSE
Solyc05g056070,1099,AT3G54890,LHCA1,LHCA1 | LHCA1; chlorophyll binding | chr3:20339706-20340922 REVERSE
Solyc10g006230,1099,AT3G61470,LHCA2,LHCA2 | LHCA2; chlorophyll binding | chr3:22745736-22747032 FORWARD
Solyc09g076050,1098,AT3G22440,NA,hydroxyproline-rich glycoprotein family protein | chr3:7959854-7961886 FORWARD
Solyc05g005180,1098,AT1G60550,DHNS,"ECHID, DHNS | ECHID (ENOYL-COA HYDRATASE/ISOMERASE D); catalytic/ naphthoate synthase | chr1:22305988-22308092 REVERSE"
Solyc02g014150,1098,AT5G23120,HCF136,HCF136 | HCF136; protein binding | chr5:7778154-7780463 FORWARD
Solyc01g108630,1098,AT2G15620,ATHNIR,"NIR1, NIR, ATHNIR | NIR1 (NITRITE REDUCTASE 1); ferredoxin-nitrate reductase/ nitrite reductase (NO-forming) | chr2:6810552-6812666 FORWARD"
Solyc04g082010,1098,AT1G20340,DRT112,PETE1 | PETE1 (PLASTOCYANIN 1); copper ion binding / electron carrier | chr1:28554217-28554732 REVERSE
Solyc04g077490,1097,AT4G37750,NA,"ANT, DRG, CKC, CKC1 | ANT (AINTEGUMENTA); DNA binding / transcription factor | chr4:17739782-17742189 FORWARD"
Solyc07g062190,1097,AT1G78630,emb1473,emb1473 | emb1473 (embryo defective 1473); structural constituent of ribosome | chr1:29575997-29577406 FORWARD
Solyc04g082250,1097,AT5G42270,FTSH5,"VAR1, FTSH5 | VAR1 (VARIEGATED 1); ATP-dependent peptidase/ ATPase/ metallopeptidase | chr5:16902659-16905102 FORWARD"
Solyc05g009100,1096,AT1G68400,NA,"leucine-rich repeat transmembrane protein kinase, putative | chr1:25646401-25648916 REVERSE"
Solyc01g049890,1096,AT3G13410,NA,unknown protein | chr3:4362149-4364032 REVERSE
Solyc04g015490,1096,AT1G08520,NA,"PDE166, CHLD | CHLD; ATP binding / magnesium chelatase/ nucleoside-triphosphatase/ nucleotide binding | chr1:2696538-2700819 FORWARD"
Solyc02g086890,1096,AT3G55250,NA,unknown protein | chr3:20479302-20480324 FORWARD
Solyc02g021000,1096,AT5G36120,NA,"CCB3 | CCB3 (COFACTOR ASSEMBLY, COMPLEX C (B6F),) | chr5:14198679-14199203 REVERSE"
Solyc05g008530,1096,AT2G01110,APG2,"APG2, UNE3, PGA2, TATC | APG2 (ALBINO AND PALE GREEN 2); proton motive force dependent protein transmembrane transporter | chr2:83786-85088 REVERSE"
Solyc10g008740,1096,AT5G45930,CHL,"CHLI1, CH42, CH-42, CHL11, CHLI-1 | CHLI1; ATPase/ magnesium chelatase | chr4:10201897-10203361 REVERSE"
Solyc01g009080,1096,AT2G21530,NA,forkhead-associated domain-containing protein / FHA domain-containing protein | chr2:9219372-9220464 FORWARD
Solyc08g076290,1096,AT1G32080,NA,"membrane protein, putative | chr1:11537572-11539756 REVERSE"
Solyc11g017430,1096,AT4G09620,NA,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Mitochodrial transcription termination factor-related (InterPro:IPR003690); Has 120 Blast hits to 97 proteins in 13 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 103; Viruses - 0; Other Eukaryotes - 17 (source: NCBI BLink). | chr4:6077122-6078899 REVERSE
Solyc02g071610,1096,AT5G45670,NA,GDSL-motif lipase/hydrolase family protein | chr5:18528600-18530164 FORWARD
Solyc01g112060,1096,AT4G35250,NA,vestitone reductase-related | chr4:16771401-16773269 REVERSE
Solyc12g044280,1096,AT1G52230,PSAH-2,"PSAH2, PSAH-2, PSI-H | PSAH2 (PHOTOSYSTEM I SUBUNIT H2) | chr1:19454902-19455508 FORWARD"
Solyc11g066130,1095,AT2G28790,NA,"osmotin-like protein, putative | chr2:12354664-12355413 REVERSE"
Solyc01g087190,1095,AT5G19855,NA,unknown protein | chr5:6712166-6713445 REVERSE
Solyc03g123760,1095,AT4G14210,PDE226,"PDS3, PDS, PDE226 | PDS3 (PHYTOENE DESATURASE 3); phytoene dehydrogenase | chr4:8190426-8194769 REVERSE"
Solyc03g114470,1095,AT5G23040,CDF1,CDF1 | CDF1 (CELL GROWTH DEFECT FACTOR 1) | chr5:7729465-7730930 REVERSE
Solyc06g082950,1095,AT4G12800,PSAL,PSAL | PSAL (photosystem I subunit L) | chr4:7521469-7522493 FORWARD
Solyc11g067160,1095,AT2G27680,NA,aldo/keto reductase family protein | chr2:11803981-11805965 REVERSE
Solyc04g074640,1095,AT4G09010,APX4,APX4 | APX4 (ASCORBATE PEROXIDASE 4); heme binding / peroxidase | chr4:5777502-5779338 REVERSE
Solyc01g110000,1095,AT4G36360,BGAL3,BGAL3 | BGAL3 (beta-galactosidase 3); beta-galactosidase/ catalytic/ cation binding / sugar binding | chr4:17176840-17181143 REVERSE
Solyc07g061780,1094,AT1G17110,NA,UBP15 | UBP15 (UBIQUITIN-SPECIFIC PROTEASE 15); ubiquitin-specific protease | chr1:5845816-5849889 REVERSE
Solyc02g090670,1094,AT4G37040,MAP1D,MAP1D | MAP1D (METHIONINE AMINOPEPTIDASE 1D); aminopeptidase/ metalloexopeptidase | chr4:17455175-17457085 FORWARD
Solyc11g006020,1094,AT1G74880,NA,NDH-O | NDH-O (NAD(P)H:plastoquinone dehydrogenase complex subunit O) | chr1:28130112-28131020 REVERSE
Solyc07g063850,1094,AT5G54510,DFL1,"GH3.6, DFL1 | DFL1 (DWARF IN LIGHT 1); indole-3-acetic acid amido synthetase | chr5:22131321-22133564 REVERSE"
Solyc03g115820,1094,AT5G61410,EMB2728,RPE | RPE; catalytic/ ribulose-phosphate 3-epimerase | chr5:24684085-24685836 REVERSE
Solyc03g096850,1094,AT5G17170,NA,ENH1 | ENH1 (enhancer of sos3-1); electron carrier/ metal ion binding / protein binding | chr5:5649335-5650975 FORWARD
Solyc03g093830,1094,AT5G61670,NA,Encodes a close homolog of the Cauliflower OR (Orange) protein.  The function of OR is to induce the differentiation of proplastids or other noncolored plastids into chromoplasts for carotenoid accumulation.  Both proteins contain a Cysteine-rich zinc finger domain that is highly specific to DnaJ-like molecular chaperons. | chr5:24783629-24785201 FORWARD
Solyc04g057980,1094,AT4G37925,NDH-M,NDH-M | NDH-M (subunit NDH-M of NAD(P)H:plastoquinone dehydrogenase complex) | chr4:17830748-17831485 REVERSE
Solyc12g007010,1094,AT3G24430,HCF101,HCF101 | HCF101 (HIGH-CHLOROPHYLL-FLUORESCENCE 101); ATP binding | chr3:8868731-8872154 REVERSE
Solyc02g030460,1094,AT2G35640,NA,hydroxyproline-rich glycoprotein family protein | chr2:14982835-14984182 FORWARD
Solyc00g024150,1094,AT5G51110,NA,4-alpha-hydroxytetrahydrobiopterin dehydratase | chr5:20778316-20779380 REVERSE
Solyc06g084050,1094,AT2G30570,PSBW,PSBW | PSBW (PHOTOSYSTEM II REACTION CENTER W) | chr2:13019326-13020053 REVERSE
Solyc10g083500,1093,AT3G52890,NA,KIPK | KIPK (KCBP-interacting protein kinase); kinase/ protein binding / protein kinase | chr3:19609150-19612032 FORWARD
Solyc10g074680,1093,AT3G54220,NA,"SCR, SGR1 | SCR (SCARECROW); protein binding / protein homodimerization/ sequence-specific DNA binding / transcription factor | chr3:20070550-20072625 FORWARD"
Solyc08g079620,1093,AT1G12410,CLP2,"CLPR2, NCLPP2, CLP2 | CLP2 (CLP PROTEASE PROTEOLYTIC SUBUNIT 2); serine-type endopeptidase | chr1:4223099-4224954 FORWARD"
Solyc02g091560,1093,AT4G37930,SHM1,"SHM1, STM, SHMT1 | SHM1 (SERINE TRANSHYDROXYMETHYLTRANSFERASE 1); glycine hydroxymethyltransferase/ poly(U) binding | chr4:17831891-17834742 REVERSE"
Solyc03g112760,1093,AT3G48200,NA,unknown protein | chr3:17832949-17837371 REVERSE
Solyc10g007050,1093,AT5G53850,NA,haloacid dehalogenase-like hydrolase family protein | chr5:21861155-21864817 REVERSE
Solyc12g036170,1093,AT1G18730,NDF6,NDF6 | NDF6 (NDH DEPENDENT FLOW 6) | chr1:6460625-6462107 FORWARD
Solyc02g077560,1092,AT2G33860,NA,"ETT, ARF3 | ETT (ETTIN); DNA binding / transcription factor | chr2:14325444-14328613 REVERSE"
Solyc01g091740,1092,AT2G45720,NA,armadillo/beta-catenin repeat family protein | chr2:18834468-18836129 FORWARD
Solyc06g071790,1092,AT4G20360,ATRAB8D,"ATRAB8D, ATRABE1B | ATRABE1B (ARABIDOPSIS RAB GTPASE HOMOLOG E1B); GTP binding / GTPase/ translation elongation factor | chr4:10990036-10991466 FORWARD"
Solyc10g077040,1092,AT3G56940,ACSF,"CRD1, CHL27, ACSF | CRD1 (COPPER RESPONSE DEFECT 1); DNA binding / magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase | chr3:21076594-21078269 FORWARD"
Solyc06g069030,1092,AT1G18060,NA,unknown protein | chr1:6212065-6213314 REVERSE
Solyc10g077120,1092,AT1G67740,PSBY,"PSBY, YCF32 | PSBY | chr1:25394429-25394998 REVERSE"
Solyc03g007050,1091,AT5G62230,ERL1,ERL1 | ERL1 (ERECTA-LIKE 1); kinase | chr5:24996433-25002130 FORWARD
Solyc06g061070,1091,AT1G32470,NA,"glycine cleavage system H protein, mitochondrial, putative | chr1:11739479-11740246 REVERSE"
Solyc01g087560,1090,AT5G13710,CPH,"SMT1, CPH | SMT1 (STEROL METHYLTRANSFERASE 1); sterol 24-C-methyltransferase | chr5:4424048-4426866 REVERSE"
Solyc05g056260,1090,AT3G58140,NA,phenylalanyl-tRNA synthetase class IIc family protein | chr3:21529988-21532386 REVERSE
Solyc08g068590,1090,AT2G46910,NA,plastid-lipid associated protein PAP / fibrillin family protein | chr2:19272427-19273856 FORWARD
Solyc03g051810,1090,AT3G11945,ATHST,ATHST | homogentisate farnesyltransferase/ homogentisate geranylgeranyltransferase/ homogentisate solanesyltransferase | chr3:3780041-3782880 REVERSE
