"Row.names"	"logFC"	"logCPM"	"PValue"	"FDR"	"SGN_annotation"	"AGI"	"symbol"	"gene_name"	"X..identity"	"alignment.length"	"e.value"	"bit.score"	"percent.query.align"
"Solyc12g082690.1.1"	-4.28095655696765	6.68298530262011	5.65061619682743e-11	4.09104612650306e-08	"Retrotransposable element Tf2 155 kDa protein type 2 (AHRD V1 **-- RTF22_SCHPO); contains Interpro domain(s)  IPR001584  Integrase, catalytic core "	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc02g071700.2.1"	8.64253423370321	5.5364247977651	6.08733106740074e-11	4.20689916130731e-08	"GDSL esterase/lipase At1g29670 (AHRD V1 ***- GDL15_ARATH); contains Interpro domain(s)  IPR001087  Lipase, GDSL "	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc11g020560.1.1"	-4.01094039534761	8.74374305379507	6.44726325964127e-11	4.26192133041678e-08	"Pol polyprotein (AHRD V1 *-*- POL_BAEVM); contains Interpro domain(s)  IPR000477  RNA-directed DNA polymerase (reverse transcriptase) "	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc02g092370.1.1"	5.35192270679192	7.17436449529278	1.45524449016507e-10	9.21897384519574e-08	"GRAS family transcription factor (AHRD V1 **-- B9NAS9_POPTR); contains Interpro domain(s)  IPR005202  GRAS transcription factor "	"AT4G37650"	"SGR7"	"Involved in radial organization of the root and shoot axial organs. Essential for normal shoot gravitropism. The protein moves in a highly specific manner from the cells of the stele in which it is synthesized outward."	59.66	533	2e-159	558	99.60629921
"Solyc12g040790.1.1"	6.27685355606347	5.98854230688734	1.5249280393618e-10	9.2740023641827e-08	"Menaquinone biosynthesis methyltransferase ubiE (AHRD V1 *-*- UBIE_LISMH); contains Interpro domain(s)  IPR013216  Methyltransferase type 11 "	"AT3G18000"	"NMT1"	"Arabidopsis thaliana N-methyltransferase-like protein mRNA."	79.55	484	0	829	96.40718563
"Solyc04g017990.1.1"	-4.68593923398123	5.30721927969806	1.88991904679601e-10	1.10516650721102e-07	"&aposchromo&apos domain containing protein (AHRD V1 *--- Q6L3Q3_SOLDE); contains Interpro domain(s)  IPR005162  Retrotransposon gag protein "	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc09g075900.2.1"	8.43714052470822	5.33881198211291	2.14510078346077e-10	1.1818188569397e-07	"Spermidine synthase (AHRD V1 **** D5MHP1_9BACT); contains Interpro domain(s)  IPR001045  Spermine synthase "	"AT5G19530"	"ACL5"	"Encodes a spermine synthase.  Required for internode elongation and vascular development, specifically in the mechanism that defines the boundaries between veins and nonvein regions.   This mechanism may be mediated by polar auxin transport.  Though ACL5 has been shown to function as a spermine  synthase in E. coli, an ACL5 knockout has no effect on the endogenous levels of free and conjugated polyamines in Arabidopsis, suggesting that ACL5 may have a very specific or altogether different in vivo function."	68.56	299	5e-130	461	89.75903614
"Solyc04g072030.1.1"	6.73795066974323	5.69543587358218	2.17646198331436e-10	1.1818188569397e-07	"Interferon-induced GTP-binding protein Mx (Fragment) (AHRD V1 *--- MX_PERFL); contains Interpro domain(s)  IPR015577  Interferon-induced Mx protein "	"AT1G60500"	"DRP4C"	"dynamin family protein; similar to dynamin family protein [Arabidopsis thaliana] (TAIR:AT1G60530.1); similar to OSIGBa0103I21.1 [Oryza sativa (indica cultivar-group)] (GB:CAH65868.1); similar to Os03g0260000 [Oryza sativa (japonica cultivar-group)] (GB:NP_001049617.1); similar to Dynamin central re (GB:ABE80642.1); contains InterPro domain Dynamin GTPase effector; (InterPro:IPR003130); contains InterPro domain Dynamin central region; (InterPro:IPR000375); contains InterPro domain Dynamin; (InterPro:IPR001401)"	59.22	618	0	715	90.82840237
"Solyc03g005960.2.1"	8.38837899141526	5.33944390005229	2.81785670186946e-10	1.47733425155942e-07	"Receptor like kinase, RLK"	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc03g114290.2.1"	8.37715601871525	5.32987027934752	3.09144206845243e-10	1.55886303369728e-07	"UPF0497 membrane protein At2g36330 (AHRD V1 *-*- U497A_ARATH); contains Interpro domain(s)  IPR006702  Uncharacterised protein family UPF0497, trans-membrane plant "	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc10g045000.1.1"	-4.06474079035275	6.5605547890815	3.31193169809973e-10	1.55886303369728e-07	"Pol polyprotein (AHRD V1 ***- POL_MLVAV); contains Interpro domain(s)  IPR001584  Integrase, catalytic core "	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc06g076140.2.1"	6.66389288128282	5.61462399964437	3.35025051740558e-10	1.55886303369728e-07	"Metallothionein-like protein (AHRD V1 ***- A9YTZ3_SOLTU); contains Interpro domain(s)  IPR000347  Plant metallothionein, family 15 "	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g080770.2.1"	5.43425880582335	6.5686947860307	3.38348330123719e-10	1.55886303369728e-07	"Receptor like kinase, RLK"	"AT4G20270"	"BAM3"	"Encodes a CLAVATA1-related receptor kinase-like protein required for both shoot and flower meristem function.  It has a broad expression pattern and is involved in vascular strand development in the leaf, control of leaf shape, size and symmetry, male gametophyte development and ovule specification and function."	62.56	967	0	1149	96.77419355
"Solyc05g021410.1.1"	-4.47497341236571	5.21868818740064	4.19914881867887e-10	1.87776054821157e-07	"Unknown Protein (AHRD V1)"	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc10g052630.1.1"	-3.82153687064521	8.00725396352845	5.41647431666975e-10	2.35291644316134e-07	"Pol polyprotein (AHRD V1 *-*- POL_BAEVM); contains Interpro domain(s)  IPR001584  Integrase, catalytic core "	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g094790.2.1"	8.25246140274045	5.14775501622782	6.38098670402139e-10	2.69490338466503e-07	"Cysteine synthase (AHRD V1 ***- Q9FS29_SOLTU); contains Interpro domain(s)  IPR005859  Cysteine synthase A "	"AT3G61440"	"ARATH;BSAS3;1"	"Encodes a cysteine synthase isomer AtcysC1. The isomer is however less effective in cysteine biosynthesis. It is involved in beta-cyanoalanine biosynthesis, an intermediate of cyanide detoxification pathway."	74.46	372	5e-156	547	99.44134078
"Solyc06g071530.2.1"	-3.74953892063616	8.36954672420673	6.71659387768044e-10	2.75997549503388e-07	"60S ribosomal protein L44 (AHRD V1 ***- B9RH89_RICCO); contains Interpro domain(s)  IPR000552  Ribosomal protein L44e "	"AT4G14320"	NA	"60S ribosomal protein L36a/L44 (RPL36aB); Identical to 60S ribosomal protein L36a (RPL36AB) [Arabidopsis Thaliana] (GB:O23290;GB:Q7GD84); similar to 60S ribosomal protein L36a/L44 (RPL36aA) [Arabidopsis thaliana] (TAIR:AT3G23390.1); similar to 60S ribosomal protein L144 [Brassica rapa subsp. pekinensis] (GB:AAK94425.1); contains InterPro domain Ribosomal protein L44E; (InterPro:IPR000552)"	95.24	105	4e-45	175	98.11320755
"Solyc10g007600.2.1"	5.87895412719677	6.13501924648555	7.9982537444705e-10	3.20014341923499e-07	"L-lactate dehydrogenase  (AHRD V1 ***- LLDD_VIBPA); contains Interpro domain(s)  IPR012133  Alpha-hydroxy acid dehydrogenase, FMN-dependent "	"AT3G14420"	NA	"(S)-2-hydroxy-acid oxidase, peroxisomal, putative / glycolate oxidase, putative / short chain alpha-hydroxy acid oxidase, putative; Identical to Probable peroxisomal (S)-2-hydroxy-acid oxidase 2 (EC 1.1.3.15) (Glycolate oxidase 2) (GOX 2) (Short chain alpha-hydroxy acid oxidase 2) [Arabidopsis Thaliana] (GB:Q9LRR9;GB:Q8VZA4;GB:Q944K6); similar to (S)-2-hydroxy-acid oxidase, peroxisomal, putative / glycolate oxidase, putative / short chain alpha-hydroxy acid oxidase, putative [Arabidopsis thaliana] (TAIR:AT3G14415.1); similar to (S)-2-hydroxy-acid oxidase (EC 1.1.3.15) - cucurbit (GB:T10242); similar to glycolate oxidase [Mesembryanthemum crystallinum] (GB:AAB40396.1); similar to glycolate oxidase [Brassica napus] (GB:AAV28535.1); contains InterPro domain FMN/related compound-binding core; (InterPro:IPR003009); contains InterPro domain FMN-dependent alpha-hydroxy acid dehydrogenase; (InterPro:IPR000262); contains InterPro domain FMN-dependent alpha-hydroxy acid dehydrogenase, active site; (InterPro:IPR008259)"	85.67	363	0	642	97.31182796
"Solyc07g020960.2.1"	6.40991306164839	5.39388425478431	1.5799508763178e-09	6.15937772398353e-07	"BHLH transcription factor-like protein (AHRD V1 *-** Q5ZAK6_ORYSJ); contains Interpro domain(s)  IPR011598  Helix-loop-helix DNA-binding "	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc08g080890.2.1"	8.06517250469983	5.0092268165417	2.05908209793613e-09	7.78454247943095e-07	"Copper-exporting ATPase (AHRD V1 **** C0X752_ENTFA); contains Interpro domain(s)  IPR006403  ATPase, P type, cation/copper-transporter "	"AT1G63440"	"HMA5"	"The Arabidopsis P-type ATPase HMA5 is involved in Cu detoxification. hma5 mutant plants exhibit Cu hypersensitivity,  which is especially dramatic in roots where  HMA5 is mostly expressed."	71.08	854	0	1158	95.28619529
"Solyc10g005060.2.1"	5.47895055945091	6.14237680057261	2.09922547787864e-09	7.78454247943095e-07	"O-methyltransferase-like protein (AHRD V1 **** D3JZ18_PRUMU); contains Interpro domain(s)  IPR016461  O-methyltransferase, COMT, eukaryota "	"AT5G54160"	"ATOMT1"	"A caffeic acid/5-hydroxyferulic acid O-methyltransferase. Interacts with 14-4-3 proteins in yeast 2 hybrid assay.  AtOMT1 (At5g54160) encodes a flavonol 3’-O-methyltransferase that is highly active towards quercetin and myricetin. The substrate specificity identifies the enzyme as flavonol 3’-methyltransferase which replaces the former annotation of the gene to encode a caffeic acid/5-hydroxyferulic acid O-methyltransferase"	54.25	365	3e-109	392	99.45205479
"Solyc06g066320.2.1"	-3.60709326710265	8.81257424672333	2.15488922893419e-09	7.80069900874175e-07	"Transcription factor iws1 (AHRD V1 *-*- B6K1U8_SCHJY); contains Interpro domain(s)  IPR008654  IWS1, C-terminal "	"AT1G32130"	"ATIWS1"	"similar to IWS1 C-terminus family protein [Arabidopsis thaliana] (TAIR:AT4G19000.1); similar to Os01g0147200 [Oryza sativa (japonica cultivar-group)] (GB:NP_001042011.1); similar to unnamed protein product [Ostreococcus tauri] (GB:CAL53710.1); contains InterPro domain IWS1, C-terminal; (InterPro:IPR008654); contains InterPro domain Transcription factors TFIIS, elongin A, CRSP70, conserved; (InterPro:IPR010990)"	57.87	534	4e-121	432	99.61832061
"Solyc00g131710.1.1"	-3.68410765377893	7.61000199660206	2.35033036478254e-09	8.31033089910553e-07	"Pol polyprotein (AHRD V1 *-*- POL_MLVFP); contains Interpro domain(s)  IPR001584  Integrase, catalytic core "	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g034160.1.1"	-3.76618722834267	6.40699000491651	3.02820457286502e-09	1.04638232558727e-06	"Pol polyprotein (AHRD V1 ***- Q94FM1_CITPA); contains Interpro domain(s)  IPR013103  Reverse transcriptase, RNA-dependent DNA polymerase "	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc11g050910.1.1"	-3.61824332621314	7.99534995705496	3.18947307480612e-09	1.07761663620783e-06	"Pol polyprotein (AHRD V1 *-*- POL_MLVFP); contains Interpro domain(s)  IPR001584  Integrase, catalytic core "	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc10g052420.1.1"	-3.78679411994577	6.47394910677594	3.32275286986068e-09	1.08068582446447e-06	"Pol polyprotein (AHRD V1 *-*- POL_MMTVB); contains Interpro domain(s)  IPR000477  RNA-directed DNA polymerase (reverse transcriptase) "	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc08g028890.1.1"	-4.26381423984316	4.82414516258193	3.34071519007037e-09	1.08068582446447e-06	"30S ribosomal protein S2 chloroplastic (AHRD V1 ***- D3WD39_XIMAM); contains Interpro domain(s)  IPR005706  Ribosomal protein S2, bacterial-type "	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc03g117540.2.1"	7.9673746259824	4.9027672994139	3.68926987583416e-09	1.15770654987773e-06	"Multidrug resistance protein ABC transporter family (AHRD V1 **-- B9I191_POPTR); contains Interpro domain(s)  IPR001140  ABC transporter, transmembrane region "	"AT2G07680"	"ATMRP11"	"member of MRP subfamily"	59.4	1441	0	1546	96.55870445
"Solyc01g103530.2.1"	4.74418281052448	6.68148768397608	3.73109845724865e-09	1.15770654987773e-06	"Receptor like kinase, RLK"	"AT4G20270"	"BAM3"	"Encodes a CLAVATA1-related receptor kinase-like protein required for both shoot and flower meristem function.  It has a broad expression pattern and is involved in vascular strand development in the leaf, control of leaf shape, size and symmetry, male gametophyte development and ovule specification and function."	57.22	977	0	1010	95.48192771
"Solyc08g007640.1.1"	7.89081102849142	4.82913017760615	5.67209005417545e-09	1.69095014085654e-06	"Lrr,  resistance protein fragment"	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g111100.2.1"	7.88863387003138	4.84984759093761	5.67209005417545e-09	1.69095014085654e-06	"Neutral invertase like protein (AHRD V1 ***- Q67XD9_ARATH); contains Interpro domain(s)  IPR006937  Plant neutral invertase "	"AT4G34860"	NA	"beta-fructofuranosidase, putative / invertase, putative / saccharase, putative / beta-fructosidase, putative; similar to beta-fructofuranosidase, putative / invertase, putative / saccharase, putative / beta-fructosidase, putative [Arabidopsis thaliana] (TAIR:AT4G09510.1); similar to CINV1 (CYTOSOLIC INVERTASE 1), beta-fructofuranosidase [Arabidopsis thaliana] (TAIR:AT1G35580.2); similar to beta-fructofuranosidase, putative / invertase, putative / saccharase, putative / beta-fructosidase, putative [Arabidopsis thaliana] (TAIR:AT1G22650.1); similar to putative neutral/alkaline invertase [Lotus japonicus] (GB:CAG30577.1); similar to Plant neutral invertase [Medicago truncatula] (GB:ABE77865.1); similar to neutral/alkaline invertase [Manihot esculenta] (GB:ABA08442.1); contains InterPro domain Six-hairpin glycosidase; (InterPro:IPR008928); contains InterPro domain Plant neutral invertase; (InterPro:IPR006937)"	81.49	562	0	955	92.07920792
"Solyc11g017260.1.1"	-3.51942132338722	8.47887043415165	5.88915958424095e-09	1.72189965997691e-06	"Pol polyprotein (AHRD V1 *-*- POL_GALV); contains Interpro domain(s)  IPR001584  Integrase, catalytic core "	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc06g065970.1.1"	4.67280051203768	6.842592248479	6.2914983178778e-09	1.79438628961833e-06	"Cortical cell-delineating protein (AHRD V1 **-- B6UGA2_MAIZE); contains Interpro domain(s)  IPR013770  Plant lipid transfer protein and hydrophobic protein, helical "	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc07g065210.2.1"	-3.45882887475782	10.667112781421	6.37311626147001e-09	1.79438628961833e-06	"Kinesin motor family protein (AHRD V1 *-** D7LAW5_ARALY); contains Interpro domain(s)  IPR010544  Kinesin-related "	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g006490.2.1"	-3.69950185025796	5.92081274470637	8.858231290806e-09	2.44873724628026e-06	"Protein YdiU (AHRD V1 ***- B5N5F2_SALET); contains Interpro domain(s)  IPR003846  Uncharacterised protein family UPF0061 "	"AT5G13030"	NA	"similar to Os06g0320700 [Oryza sativa (japonica cultivar-group)] (GB:NP_001057514.1); similar to hypothetical protein ebA6654 [Azoarcus sp. EbN1] (GB:YP_160826.1); contains InterPro domain Protein of unknown function UPF0061; (InterPro:IPR003846)"	77.64	568	0	959	98.60869565
"Solyc01g028970.1.1"	-3.59752613067687	6.77879606899309	9.1025756985295e-09	2.47134930215076e-06	"Retrotransposon gag protein (AHRD V1 ***- Q0KIS1_SOLDE); contains Interpro domain(s)  IPR005162  Retrotransposon gag protein "	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc11g068950.1.1"	7.78136421713205	4.73674805365496	1.08603359423334e-08	2.89685171346031e-06	"BEL1-like homeodomain protein 1 (AHRD V1 **-- BLH1_ARATH); contains Interpro domain(s)  IPR006563  POX "	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc10g036800.1.1"	-3.60886978297501	6.27340412252529	1.18192315010692e-08	3.09826889210785e-06	"Polyprotein (AHRD V1 ***- Q0ZLH4_9ORYZ); contains Interpro domain(s)  IPR000477  RNA-directed DNA polymerase (reverse transcriptase) "	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc07g063600.2.1"	4.33109441785336	7.37611084931073	1.22749439419504e-08	3.16319063887142e-06	"Chlorophyll a-b binding protein 13, chloroplastic (AHRD V1 ***- CB23_SOLLC); contains Interpro domain(s)  IPR001344  Chlorophyll A-B binding protein "	"AT5G54270"	"LHCB3"	"Lhcb3 protein is a component of the main light harvesting chlorophyll a/b-protein complex of Photosystem II (LHC II)."	87.92	265	2e-135	478	99.23954373
"Solyc07g039270.2.1"	-3.66910918483197	6.21501756562919	1.28477055609241e-08	3.25560858913817e-06	"&aposchromo&apos domain containing protein (AHRD V1 *-*- Q6L3Q3_SOLDE); contains Interpro domain(s)  IPR001878  Zinc finger, CCHC-type "	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc02g079760.2.1"	7.71741648343243	4.67108742855852	1.52864669840913e-08	3.74863619396973e-06	"BHLH transcription factor-like protein (AHRD V1 *-*- Q5ZAK6_ORYSJ); contains Interpro domain(s)  IPR011598  Helix-loop-helix DNA-binding "	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc08g074390.2.1"	7.71730530923571	4.66180866671555	1.52864669840913e-08	3.74863619396973e-06	"Glucan endo-1 3-beta-glucosidase 6 (AHRD V1 ***- B6TW83_MAIZE); contains Interpro domain(s)  IPR013781  Glycoside hydrolase, subgroup, catalytic core "	"AT5G58090"	NA	"glycosyl hydrolase family 17 protein; Identical to Putative glucan endo-1,3-beta-glucosidase 6 precursor (EC 3.2.1.39) ((1->3)-beta-glucan endohydrolase 6) ((1->3)-beta-glucanase 6) (Beta- 1,3-endoglucanase 6) (Beta-1,3-glucanase 6) [Arabidopsis Thaliana] (GB:Q93Z08;GB:Q9FGT5); similar to glycosyl hydrolase family 17 protein [Arabidopsis thaliana] (TAIR:AT4G31140.1); similar to Os02g0139300 [Oryza sativa (japonica cultivar-group)] (GB:NP_001045844.1); similar to Os08g0224500 [Oryza sativa (japonica cultivar-group)] (GB:NP_001061277.1); similar to putative 1,3-beta-glucanase [Oryza sativa (japonica cultivar-group)] (GB:AAP12947.1); contains InterPro domain X8; (InterPro:IPR012946); contains InterPro domain Glycoside hydrolase, family 17; (InterPro:IPR000490)"	70.2	443	0	639	90.20408163
